,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.81504,1.0,0.99842,0.9962799999999999,0.96608
AvgKNN,0.8126200000000001,1.0,0.99902,0.9974999999999999,0.97094
MedKNN,0.80188,1.0,0.9987,0.9969000000000001,0.9686400000000001
PCA,0.67194,0.8745200000000001,0.9986200000000001,0.30032000000000003,0.6300399999999999
MCD,0.8744200000000001,1.0,0.99902,0.75288,0.7450400000000001
HBOS,0.8674799999999999,0.8320599999999999,0.9851599999999999,0.869,0.8700800000000001
ABOD,0.80632,1.0,0.9992599999999999,0.9974000000000001,0.9784600000000001
FB,0.82318,1.0,0.9998799999999999,0.99236,0.89002
OCSVM,0.87292,1.0,0.9995799999999999,0.99474,0.96746
LOF,0.8413999999999999,1.0,0.99922,0.9937800000000001,0.9027999999999998
IForest,0.87354,1.0,0.9986799999999999,0.9307400000000001,0.8589399999999999
AutoEncoder,0.5772999999999999,0.53226,0.8043800000000001,0.29686,0.28722000000000003
DeepSVDD,0.41351999999999994,1.0,0.5974,0.50448,0.5105999999999999
My Model,0.9015,1.0,0.9986,0.9975,0.9482
