,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.56096,1.0,0.99428,0.9629000000000001,0.70252
AvgKNN,0.5682,1.0,0.99428,0.9629000000000001,0.70252
MedKNN,0.5521,1.0,0.99428,0.9629000000000001,0.7442
PCA,0.10634000000000002,0.6909,0.99428,0.0,0.0
MCD,0.57436,1.0,0.99428,0.0,0.0
HBOS,0.5532800000000001,0.6,0.53544,0.15224,0.0
ABOD,0.54878,1.0,0.99428,0.95114,0.7692
FB,0.58236,1.0,0.99428,0.7908000000000001,0.5692
OCSVM,0.5837600000000001,1.0,0.99428,0.93012,0.7692
LOF,0.59716,1.0,0.99428,0.88102,0.51088
IForest,0.5592999999999999,1.0,0.9419000000000001,0.1353,0.02222
AutoEncoder,0.20407999999999998,0.4,0.59428,0.0,0.0
DeepSVDD,0.00334,1.0,0.59428,0.0,0.0
My Model,0.6867,1.0,0.9714,0.9706,0.7917
