,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.79766,1.0,1.0,0.9951800000000001,0.97126
AvgKNN,0.7933,1.0,1.0,0.99344,0.97614
MedKNN,0.7895000000000001,1.0,1.0,0.99014,0.97272
PCA,0.71968,0.8661200000000001,0.9982,0.30452,0.68286
MCD,0.8709,0.93434,0.9994,0.79396,0.7755599999999999
HBOS,0.85592,0.98414,0.96832,0.92492,0.8554799999999998
ABOD,0.7851600000000001,1.0,1.0,0.99254,0.9780000000000001
FB,0.79616,1.0,1.0,0.9937800000000001,0.94464
OCSVM,0.86592,1.0,0.9998799999999999,0.99032,0.86806
LOF,0.80844,1.0,1.0,0.9928799999999999,0.90032
IForest,0.86252,1.0,0.99448,0.91478,0.8267599999999999
