,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.5482600000000001,1.0,1.0,0.9552200000000001,0.6442
AvgKNN,0.5340199999999999,1.0,1.0,0.94346,0.6442
MedKNN,0.52942,1.0,1.0,0.9552200000000001,0.6442
PCA,0.24678000000000005,0.67272,0.9657,0.0,0.0
MCD,0.56768,0.8,0.99428,0.0,0.0
HBOS,0.4988200000000001,0.88422,0.48572,0.5008999999999999,0.033339999999999995
ABOD,0.5410999999999999,1.0,1.0,0.95114,0.81088
FB,0.53906,1.0,1.0,0.85998,0.5692
OCSVM,0.57328,1.0,0.99428,0.9045400000000001,0.43586
LOF,0.5882,1.0,1.0,0.87356,0.4692
IForest,0.55358,1.0,0.8028600000000001,0.14706000000000002,0.0
